,freq_pvalue,pvalue,effect_size,gene_ids,feature_types,n_counts,mt,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,clonally_expressed,normalized_effect_size
IGKV1-16,0,1.1902145672956094e-103,-1.3451731105767897,ENSG00000240864,Gene Expression,287201.0,False,367,1.6704055,0.9822303,54.80295566502463,1356.3693,7.2133036,2609,True,-0.8052973393999706
IGHV3-23,0,2.1715774307322139e-103,-1.4720784435422825,ENSG00000211949,Gene Expression,323767.0,False,450,2.17827,1.156337,44.58128078817734,1768.7554,7.4785967,3227,True,-0.6758016108730751
IGKV2-30,0,3.316371954809176e-102,-1.3138687036521643,ENSG00000243238,Gene Expression,468633.0,False,367,1.5735185,0.945274,54.80295566502463,1277.697,7.153597,2673,True,-0.8349877624150204
IGLV6-57,0,9.848020258688687e-102,-1.292799874307136,ENSG00000211640,Gene Expression,582568.0,False,531,2.2096024,1.166147,34.60591133004927,1794.1971,7.4928703,3975,True,-0.5850825922690482
IGKV1-17,0,1.3688804331954823e-99,-1.2367985232875311,ENSG00000240382,Gene Expression,221339.0,False,383,1.6009738,0.9558859,52.83251231527093,1299.9907,7.1708813,2618,True,-0.7725288751684832
IGKV1-27,0,5.610120760621748e-98,-1.1067044316132435,ENSG00000244575,Gene Expression,230844.0,False,412,1.5744556,0.94563806,49.26108374384236,1278.458,7.154192,2830,True,-0.7029124342137585
IGHV3-30,0,1.03283111057583e-96,-1.094605586849577,ENSG00000270550,Gene Expression,260736.0,False,452,1.7425878,1.008902,44.33497536945813,1414.9813,7.255578,3245,True,-0.6281494590046096
IGLC2,0,2.132659825745478e-96,-1.6293518703293097,ENSG00000211677,Gene Expression,295538.0,False,546,2.5543225,1.2681645,32.758620689655174,2074.1099,7.637769,4138,True,-0.6378802529241749
IGKV1D-8,0,4.615145814205097e-94,-1.0102323444427033,ENSG00000239819,Gene Expression,102247.0,False,327,1.251968,0.81180453,59.729064039408875,1016.598,6.9252005,2319,True,-0.8069154509802421
IGHG3,0,9.067195161474801e-94,-1.318251119249196,ENSG00000211897,Gene Expression,146999.0,False,474,2.0974383,1.1305754,41.6256157635468,1703.12,7.440804,3329,True,-0.6285053042982739
IGKV1-8,0,2.1255742152752813e-93,-1.0846175881367492,ENSG00000240671,Gene Expression,120943.0,False,334,1.3556967,0.8568365,58.86699507389162,1100.8257,7.004724,2379,True,-0.8000444388545187
IGLV2-23,0,2.4074570494635608e-93,-1.1881304086032278,ENSG00000211660,Gene Expression,1446814.0,False,592,2.330431,1.2031018,27.093596059113302,1892.3099,7.546082,4331,True,-0.5098329092374464
IGHV1-2,0,7.368272623050621e-93,-1.451402347977335,ENSG00000211934,Gene Expression,686947.0,False,402,1.7809143,1.0227797,50.49261083743842,1446.1024,7.2773185,2952,True,-0.8149759606991674
IGLC3,0,1.553819027564206e-92,-1.1297851002124017,ENSG00000211679,Gene Expression,132555.0,False,427,1.6358752,0.9692153,47.41379310344828,1328.3307,7.192431,3239,True,-0.690630362817576
IGHV3-7,0,3.3691303549642525e-92,-1.2130933530498087,ENSG00000211938,Gene Expression,369662.0,False,482,2.0419095,1.1124854,40.64039408866995,1658.0304,7.4139886,3436,True,-0.5940975244200404
IGKV1D-39,0,6.807783053026205e-92,-0.8693424081494076,ENSG00000251546,Gene Expression,49868.0,False,278,1.0056471,0.6959667,65.76354679802957,816.5854,6.7063556,1975,True,-0.8644607436482933
IGKV1-39,0,9.84832354752317e-91,-0.8610076600981533,ENSG00000242371,Gene Expression,56308.0,False,244,0.9252215,0.65504104,69.95073891625616,751.27985,6.6231084,1794,True,-0.9305962491254742
IGKV2-29,0,1.6894652923856726e-90,-1.006643271039242,ENSG00000253998,Gene Expression,299227.0,False,345,1.2418898,0.80731916,57.512315270935964,1008.41455,6.9171257,2545,True,-0.8105737265514783
IGHG2,0,1.8973632314812537e-90,-1.6385073549472313,ENSG00000211893,Gene Expression,223863.0,False,503,2.498504,1.2523354,38.05418719211823,2028.7853,7.6156855,3620,True,-0.6557953900296238
IGLV2-11,0,6.3959959346306746e-90,-1.0073979842287142,ENSG00000211668,Gene Expression,510817.0,False,455,1.6054968,0.95762336,43.96551724137932,1303.6633,7.1737003,3178,True,-0.6274680875743326
IGHV3-21,0,1.6995623566591202e-88,-1.0146246301173556,ENSG00000211947,Gene Expression,244971.0,False,440,1.6371202,0.9696875,45.812807881773395,1329.3417,7.193191,2996,True,-0.6197618238773516
IGHV4-39,0,9.111065877432404e-86,-0.9486901887070307,ENSG00000211959,Gene Expression,534743.0,False,327,1.2377986,0.8054926,59.729064039408875,1005.0924,6.9138293,2577,True,-0.7664334169419832
IGKV1D-16,0,2.2276244940771358e-85,-0.7803807837696135,ENSG00000241244,Gene Expression,46934.0,False,241,0.8770084,0.6296792,70.32019704433498,712.1308,6.569665,1752,True,-0.8898213550699111
IGHV4-31,0,2.4302780586064857e-84,-0.7140817342828434,ENSG00000231475,Gene Expression,103953.0,False,202,0.7633894,0.56723773,75.1231527093596,619.8722,6.431125,1593,True,-0.9354095383681819
IGLV1-36,0,2.9736487577553425e-84,-0.6857510892585083,ENSG00000211655,Gene Expression,102843.0,False,259,0.80803,0.59223783,68.10344827586206,656.12036,6.4878674,1918,True,-0.8486703233686581
IGLV3-21,0,6.606828306677695e-83,-0.9519197460808528,ENSG00000211662,Gene Expression,856428.0,False,514,1.7572061,1.0142179,36.69950738916257,1426.8513,7.263926,3821,True,-0.5417234527273108
IGHA1,0,9.809737489508946e-82,-1.8991783135262508,ENSG00000211895,Gene Expression,1107532.0,False,755,4.9688435,1.7865531,7.019704433497543,4034.701,8.302936,5432,True,-0.38221737689730395
IGHV4-59,0,4.999715545182423e-81,-0.750143054063656,ENSG00000224373,Gene Expression,166982.0,False,200,0.796345,0.58575404,75.36945812807882,646.63214,6.473323,1696,True,-0.9419825054515846
IGHV3-33,0,1.1409037469135703e-80,-0.848558082360918,ENSG00000211955,Gene Expression,124205.0,False,370,1.2548867,0.81309974,54.43349753694582,1018.9681,6.9275265,2694,True,-0.6762029201366704
IGHD,0,1.3297775065284083e-80,-1.0911616920592904,ENSG00000211898,Gene Expression,91699.0,False,218,1.068554,0.72684985,73.15270935960592,867.6659,6.7669587,1477,True,-1.0211572343217143
IGKV3D-15,0,1.5784970516085546e-80,-0.6823003039676743,ENSG00000224041,Gene Expression,48519.0,False,230,0.7814755,0.57744193,71.67487684729063,634.5581,6.4545035,1572,True,-0.8730923971552192
IGLV10-54,0,6.2830744603512194e-80,-0.8317123033874065,ENSG00000211642,Gene Expression,325800.0,False,313,1.0333486,0.70968395,61.45320197044335,839.07904,6.733496,2275,True,-0.8048710138224625
IGLV3-25,0,1.2864364778000624e-79,-1.0461075844800232,ENSG00000211659,Gene Expression,1433440.0,False,622,2.3185813,1.1995374,23.39901477832512,1882.688,7.540987,4391,True,-0.4511843363938719
IGKV2D-28,0,1.8907601733421964e-79,-0.7189656043589894,ENSG00000242534,Gene Expression,42112.0,False,141,0.6600296,0.50683546,82.63546798029556,535.94403,6.285894,1051,True,-1.0892929879364077
IGKV1D-43,0,1.7184794469731392e-78,-0.7410010395716964,ENSG00000242580,Gene Expression,57196.0,False,297,0.95929825,0.6725864,63.42364532019704,778.9502,6.65923,2082,True,-0.7724407265503728
IGHV3-15,0,3.175536323512893e-78,-0.7614482355985518,ENSG00000211943,Gene Expression,106361.0,False,374,1.1997657,0.7883508,53.94088669950739,974.2098,6.8826528,2567,True,-0.634664123905683
IGHV1-18,0,1.200350785314247e-77,-0.8154164424554193,ENSG00000211945,Gene Expression,356577.0,False,240,0.91384137,0.6491124,70.44334975369458,742.0392,6.610749,1721,True,-0.8922953940457108
IGHV3-53,0,1.49159012315259e-77,-0.7664888982851643,ENSG00000211967,Gene Expression,80073.0,False,388,1.1965101,0.78686976,52.21674876847291,971.56616,6.879938,2685,True,-0.6406037970968489
IGKV3D-11,0,3.199123262031502e-77,-1.0237899407090731,ENSG00000211632,Gene Expression,154208.0,False,312,1.2971852,0.8316845,61.57635467980296,1053.3143,6.9606457,2305,True,-0.7892396201131542
IGHV1-45,0,3.2994085530644493e-77,-0.46153198873939133,ENSG00000211961,Gene Expression,61495.0,False,153,0.47968754,0.39183095,81.1576354679803,389.5063,5.967444,1001,True,-0.9621512934885964
IGLV3-10,0,1.3151793973750222e-76,-0.7362457018712323,ENSG00000211669,Gene Expression,279451.0,False,351,1.0449592,0.7153778,56.77339901477833,848.5069,6.744656,2725,True,-0.7045688584520502
IGKV3D-20,0,3.745182449560557e-76,-0.8514096584878827,ENSG00000211625,Gene Expression,89421.0,False,256,0.9985352,0.6924145,68.47290640394088,810.8106,6.699267,1814,True,-0.8526586193148556
IGHV4-34,0,3.824194524757792e-76,-0.7319987183684207,ENSG00000211956,Gene Expression,256272.0,False,270,0.93372655,0.659449,66.7487684729064,758.186,6.632247,2067,True,-0.7839540591792221
IGLV3-1,0,4.759550420399375e-75,-0.7977397901209453,ENSG00000211673,Gene Expression,1347881.0,False,713,2.6587198,1.2971133,12.19211822660099,2158.8804,7.6778083,5194,True,-0.30004658509094995
IGHV1-46,0,8.242156714141338e-75,-0.697592791524523,ENSG00000211962,Gene Expression,260841.0,False,233,0.82099336,0.59938216,71.30541871921181,666.6466,6.503759,1627,True,-0.8496935812574977
IGKV2D-29,0,9.846998747353544e-75,-0.5575737081983508,ENSG00000243264,Gene Expression,53781.0,False,152,0.56072927,0.44515318,81.2807881773399,455.31216,6.123177,1124,True,-0.9943724053470562
IGHV4-55,0,1.7580036545388452e-72,-0.48107311592041363,ENSG00000254395,Gene Expression,18662.0,False,98,0.43289223,0.35969496,87.93103448275862,351.50848,5.8650746,784,True,-1.1112999474219245
IGHV4-61,0,1.813743308174989e-72,-0.5420023081148866,ENSG00000211970,Gene Expression,53032.0,False,139,0.566613,0.44891596,82.88177339901478,460.08975,6.1335926,1162,True,-0.956565222482112
IGKV2-24,0,4.3005822917665953e-72,-0.6762642348092975,ENSG00000241294,Gene Expression,147678.0,False,173,0.6954737,0.52796215,78.69458128078819,564.7246,6.3381076,1399,True,-0.972379348130212
IGHG4,0,8.190993672396768e-72,-0.7586951692736723,ENSG00000211892,Gene Expression,21279.0,False,260,0.931678,0.65838903,67.98029556650246,756.5225,6.6300535,1864,True,-0.8143319597814264
IGLV2-18,0,3.6546800052697706e-71,-0.6118202303711993,ENSG00000211664,Gene Expression,87816.0,False,248,0.77819383,0.5755981,69.45812807881772,631.8934,6.450302,1975,True,-0.7862054486297924
IGHV1-24,0,3.829803626227084e-71,-0.6526794854357831,ENSG00000211950,Gene Expression,138616.0,False,235,0.8125968,0.59476054,71.05911330049261,659.8286,6.4934945,1682,True,-0.8032021379949777
IGHG1,0,6.655988816527008e-71,-0.9667068059064972,ENSG00000211896,Gene Expression,226887.0,False,503,1.8694704,1.0541275,38.05418719211823,1518.0099,7.3258142,3567,True,-0.5171019705255182
IGHV4-28,0,4.4749786920020573e-70,-0.5362195325311527,ENSG00000211952,Gene Expression,37437.0,False,149,0.5655911,0.44826347,81.65024630541872,459.25998,6.1317916,1235,True,-0.9480692597372481
IGHV5-10-1,0,7.827036035177444e-70,-0.6417169403452107,ENSG00000282651,Gene Expression,435006.0,False,290,0.87736386,0.62986857,64.28571428571428,712.41943,6.5700693,1912,True,-0.7314148315855341
IGHV3-74,0,1.7929113276409474e-69,-0.8067588891308998,ENSG00000224650,Gene Expression,311794.0,False,458,1.5508182,0.9364142,43.59605911330049,1259.2644,7.1390767,3175,True,-0.5202149978587916
IGHV3-73,0,2.3863410591891706e-69,-0.5280631354688532,ENSG00000211976,Gene Expression,51891.0,False,249,0.6942944,0.5272664,69.33497536945814,563.767,6.3364134,1769,True,-0.7605752556052222
IGKV1D-13,0,1.9211457018068016e-68,-0.7012813698580017,ENSG00000276566,Gene Expression,58091.0,False,287,0.9379198,0.66161513,64.65517241379311,761.5909,6.6367216,2060,True,-0.7476986552718166
IGHV5-51,0,2.2326000189412798e-67,-0.7846388592170233,ENSG00000211966,Gene Expression,586007.0,False,350,1.1225096,0.7525992,56.896551724137936,911.4778,6.8161635,2497,True,-0.6990041422392862
IGHV3-48,0,1.089090614725256e-66,-0.7043520466180391,ENSG00000211964,Gene Expression,60772.0,False,270,0.92784214,0.65640134,66.7487684729064,753.40784,6.625933,1952,True,-0.7591291838371539
AC233755.1,0,1.5202431927793504e-65,-0.3516216183456823,ENSG00000275063,Gene Expression,21704.0,False,104,0.3532533,0.30251154,87.19211822660098,286.84167,5.6624107,980,True,-0.9953809728323599
IGKV1D-17,0,1.646444660633477e-65,-0.5381899120067143,ENSG00000242766,Gene Expression,33929.0,False,243,0.71809524,0.54121625,70.07389162561577,583.0933,6.370061,1711,True,-0.7494687052589839
IGHA2,0,1.959552904549227e-65,-0.9127006706299176,ENSG00000211890,Gene Expression,104401.0,False,425,1.4621881,0.90105045,47.66009852216748,1187.2968,7.0802765,2964,True,-0.6242019444961778
IGLV3-19,0,6.670309595427161e-65,-0.6325864142918465,ENSG00000211663,Gene Expression,483343.0,False,375,1.0441511,0.71498257,53.81773399014777,847.8507,6.743883,3019,True,-0.6058380188843919
IGHV3-69-1,0,1.7729876283023012e-63,-0.5202831894203093,ENSG00000282600,Gene Expression,31147.0,False,250,0.71164304,0.5374538,69.21182266009852,577.8541,6.3610506,1736,True,-0.7311013528475739
IGKV2D-30,0,5.2432771653983185e-61,-0.27252784637358396,ENSG00000239571,Gene Expression,7123.0,False,79,0.253848,0.22621721,90.27093596059113,206.12456,5.33332,542,True,-1.0735867956818128
IGLC1,0,1.3187626695583956e-60,-0.8248016893998366,ENSG00000211675,Gene Expression,169829.0,False,655,2.268018,1.1841837,19.334975369458128,1841.6306,7.5189495,4687,True,-0.3636662878129329
MZB1,0,1.7567143459243132e-60,-0.388361193155216,ENSG00000170476,Gene Expression,345781.0,False,810,5.656899,1.8956537,0.24630541871921707,4593.402,8.432594,5754,True,-0.06865266550560162
IGHV2-5,0,9.74244901376954e-60,-0.5255165274955378,ENSG00000211937,Gene Expression,210708.0,False,211,0.67561984,0.51618314,74.01477832512316,548.60333,6.309197,1478,True,-0.7778287372552123
IGHV3-20,0,1.0340435364889499e-58,-0.3934028963668639,ENSG00000211946,Gene Expression,17009.0,False,188,0.49401453,0.40146682,76.84729064039408,401.1398,5.9968,1296,True,-0.7963387135044636
IGKV2D-24,0,2.2196008224574003e-57,-0.2701103648275677,ENSG00000241566,Gene Expression,13877.0,False,89,0.26887062,0.23812723,89.03940886699507,218.32294,5.3905454,658,True,-1.0046109273638169
IGHV2-26,0,3.788344277663182e-56,-0.3085771835584993,ENSG00000211951,Gene Expression,96055.0,False,107,0.33820203,0.29132694,86.82266009852216,274.62006,5.6190233,817,True,-0.9124048842792267
IGKV2-26,0,7.946727704343679e-56,-0.2444564201429991,ENSG00000254098,Gene Expression,8577.0,False,79,0.24432206,0.21859086,90.27093596059113,198.38951,5.2952604,618,True,-1.0005499241593518
IGLV1-50,0,5.5871648262841395e-55,-0.25006428755814314,ENSG00000211645,Gene Expression,9242.0,False,116,0.278853,0.24596357,85.71428571428572,226.42863,5.4268365,836,True,-0.8967602581512948
IGHV1-69D,0,6.535059292680538e-55,-0.28469546510668725,ENSG00000280411,Gene Expression,39317.0,False,138,0.34916258,0.29948407,83.00492610837439,283.52002,5.6508036,870,True,-0.8153664870452448
IGKV3-7,0,7.282992796915665e-55,-0.28644015100127496,ENSG00000243063,Gene Expression,21184.0,False,161,0.3566038,0.30498436,80.17241379310344,289.5623,5.671818,1149,True,-0.80324480557092
AC233755.2,0,6.625764486735215e-54,-0.4666489486249109,ENSG00000277856,Gene Expression,37910.0,False,225,0.6438929,0.49706715,72.29064039408867,522.841,6.261188,1589,True,-0.7247307122600521
IGLV3-27,0,1.0096657232384637e-53,-0.47665626576165776,ENSG00000211658,Gene Expression,156408.0,False,271,0.6883522,0.52375305,66.62561576354679,558.942,6.327833,2156,True,-0.6924598293128639
IGHV3-66,0,2.716336267137788e-53,-0.48569959251936323,ENSG00000211972,Gene Expression,75389.0,False,280,0.72302544,0.5440817,65.51724137931035,587.0967,6.376891,1849,True,-0.6717600306478558
IGKV2-28,0,1.6248081389226192e-52,-0.28499159870607516,ENSG00000244116,Gene Expression,6962.0,False,72,0.27764314,0.24501708,91.13300492610837,225.44623,5.4225073,482,True,-1.0264672646550528
IGLV2-5,0,6.277773525134323e-51,-0.2331279692964313,ENSG00000253234,Gene Expression,10611.0,False,109,0.26439664,0.23459505,86.57635467980296,214.69006,5.3738427,866,True,-0.8817357563382525
SSR4,0,2.1412564219987715e-50,-0.1990521421852508,ENSG00000180879,Gene Expression,344573.0,False,812,5.7832913,1.9144624,0.0,4696.0327,8.454686,5803,True,-0.034418487758491226
IGLV3-9,0,3.781163626015241e-50,-0.3359175134647233,ENSG00000211670,Gene Expression,95767.0,False,181,0.4471821,0.36961827,77.70935960591133,363.11185,5.897461,1621,True,-0.7511873164420402
IGHV3-11,0,5.2343051262677515e-50,-0.49856009757193764,ENSG00000211941,Gene Expression,90550.0,False,344,0.9130699,0.64870924,57.63546798029557,741.4128,6.6099052,2347,True,-0.5460262083652451
IGKV1D-12,0,8.311415502330063e-50,-0.3165160366247105,ENSG00000278857,Gene Expression,17285.0,False,196,0.45294502,0.37359256,75.86206896551724,367.79135,5.910231,1462,True,-0.6987957036964141
IGKV1-12,0,9.706499895814827e-50,-0.35675613457047106,ENSG00000243290,Gene Expression,30128.0,False,196,0.48408017,0.39479518,75.86206896551724,393.0731,5.9765363,1410,True,-0.7369773849547033
IGKV1D-33,0,2.125454562390774e-49,-0.2194427488239525,ENSG00000239975,Gene Expression,5520.0,False,51,0.20455898,0.1861135,93.7192118226601,166.1019,5.1186037,482,True,-1.0727602627277164
IGHV3-71,0,1.578673511814767e-48,-0.23296517042725073,ENSG00000254056,Gene Expression,7639.0,False,116,0.2829114,0.24913202,85.71428571428572,229.72406,5.4412227,828,True,-0.8234563139108033
IGHV2-70D,0,2.1564793114575144e-47,-0.24994271439474938,ENSG00000211974,Gene Expression,67275.0,False,84,0.26893586,0.23817864,89.65517241379311,218.37592,5.3907866,594,True,-0.9293766741822674
IGHV1-69,0,3.9779856971533444e-47,-0.24750732158496824,ENSG00000211973,Gene Expression,39891.0,False,106,0.30013686,0.26246953,86.94581280788178,243.71114,5.5000787,787,True,-0.8246481892745221
IGHV2OR16-5,0,1.3177621390604315e-46,-0.0683446296168581,ENSG00000259303,Gene Expression,444.0,False,13,0.049027465,0.047863513,98.39901477832512,39.810303,3.7089345,44,True,-1.3940069963058535
IGHV2-70,0,3.2895084724241996e-45,-0.2979018965013791,ENSG00000274576,Gene Expression,104763.0,False,85,0.30891165,0.269196,89.5320197044335,250.83626,5.528779,645,True,-0.9643595350884329
IGHV7-4-1,0,4.245980947906273e-45,-0.17956135204565662,ENSG00000282122,Gene Expression,14076.0,False,85,0.2111625,0.19158064,89.5320197044335,171.46394,5.1501884,532,True,-0.8503468102067157
KRTCAP2,0,1.0432688132486799e-44,-0.3577584238012623,ENSG00000163463,Gene Expression,54728.0,False,787,3.0414703,1.3966086,3.078817733990147,2469.6738,7.8122463,5659,True,-0.11762680209899212
IGHV3-72,0,2.0502780514920107e-43,-0.39890812204886084,ENSG00000225698,Gene Expression,42439.0,False,285,0.70230854,0.5319853,64.90147783251233,570.27454,6.34787,1974,True,-0.5679955487395167
B2M,0,3.969841930896554e-43,-0.22749313392853815,ENSG00000166710,Gene Expression,503289.0,False,812,6.3358817,1.9927776,0.0,5144.736,8.545923,5861,True,-0.035905521021265006
IGHV3-43,0,7.56714536861825e-40,-0.2993726813193576,ENSG00000232216,Gene Expression,20024.0,False,172,0.45683587,0.37626687,78.81773399014779,370.9507,5.9187613,1215,True,-0.6553178145958368
IGKV1OR2-108,0,8.07464379481015e-40,-0.29029235045096935,ENSG00000231292,Gene Expression,11607.0,False,175,0.43803337,0.36327648,78.44827586206897,355.6831,5.8768477,1304,True,-0.6627174295351049
IGLV3-16,0,9.507295564420033e-40,-0.21907136101401714,ENSG00000211665,Gene Expression,18604.0,False,114,0.28304625,0.24923714,85.96059113300493,229.83354,5.4416966,1084,True,-0.7739772720497246
IGHV1OR16-3,0,1.2601180859331496e-39,-0.10732478773988496,ENSG00000260048,Gene Expression,1691.0,False,46,0.117819995,0.11138035,94.33497536945814,95.66984,4.5713015,202,True,-0.9109216820460865
IGHV1-12,0,1.7498696364870898e-39,-0.15031920344916613,ENSG00000254174,Gene Expression,8379.0,False,66,0.16948658,0.15656483,91.87192118226602,137.62311,4.931759,387,True,-0.8869091666592012
IGHV3-13,0,1.035228627455902e-38,-0.2874625787197716,ENSG00000211942,Gene Expression,23438.0,False,194,0.46023795,0.3785994,76.10837438423646,373.71323,5.926161,1307,True,-0.6245955568542003
RPLP1,0,2.19072766478562e-38,-0.21086778964864022,ENSG00000137818,Gene Expression,360273.0,False,812,5.774836,1.9132152,0.0,4689.167,8.453223,5860,True,-0.036514939529735634
IGHV3OR15-7,0,4.5414999594714985e-38,-0.11155249732205957,ENSG00000259490,Gene Expression,2134.0,False,43,0.11284588,0.10692059,94.70443349753694,91.63086,4.528622,271,True,-0.9885384790339496
IGHV1-69-2,0,1.3387330244679484e-37,-0.1973069691660893,ENSG00000281990,Gene Expression,49862.0,False,123,0.27191103,0.2405205,84.85221674876847,220.79176,5.401739,862,True,-0.7256306327842549
IGLV8-61,0,8.32888484222146e-37,-0.380278920254163,ENSG00000211638,Gene Expression,341783.0,False,352,0.8036372,0.5898053,56.65024630541872,652.5534,6.4824243,2503,True,-0.4731972551203862
DERL3,0,8.958162923041504e-37,-0.35479116583046033,ENSG00000099958,Gene Expression,83083.0,False,793,3.502782,1.5046954,2.339901477832518,2844.259,7.953409,5605,True,-0.10128839164224963
IGLV7-46,0,6.340358518255193e-36,-0.341838680304112,ENSG00000211649,Gene Expression,293544.0,False,313,0.68575895,0.52221584,61.45320197044335,556.83624,6.324065,2432,True,-0.4984822744763537
IGHV3OR16-13,0,1.6223649568069546e-35,-0.14823990785720334,ENSG00000271178,Gene Expression,4068.0,False,96,0.1980483,0.1806938,88.17733990147784,160.81522,5.086455,627,True,-0.7485038379764154
IGHV3-64D,0,8.960092619050843e-35,-0.24636337850658174,ENSG00000282639,Gene Expression,25280.0,False,180,0.4142065,0.34656858,77.83251231527093,336.3357,5.821079,1242,True,-0.5947839438508715
IGLV5-48,0,2.40740464339488e-33,-0.12432180090386717,ENSG00000211647,Gene Expression,3390.0,False,80,0.16729148,0.1546861,90.14778325123153,135.84068,4.9188175,563,True,-0.743144856471945
IGKV2-4,0,1.1972707453635467e-32,-0.09086169580558139,ENSG00000253435,Gene Expression,2921.0,False,46,0.10796939,0.10252896,94.33497536945814,87.67114,4.4849343,308,True,-0.8415505281718187
AC136428.1,0,1.272900445149135e-32,-0.05576519341041974,ENSG00000259680,Gene Expression,317.0,False,12,0.04395406,0.043015484,98.52216748768473,35.690697,3.6025233,69,True,-1.2687154285200375
IGHV6-1,0,1.4220519272172939e-31,-0.3292809815325271,ENSG00000211933,Gene Expression,188210.0,False,189,0.55306876,0.4402328,76.72413793103449,449.09183,6.109452,1288,True,-0.5953707876839586
IGKV1-33,0,1.7217692192441195e-31,-0.12842539366326414,ENSG00000242076,Gene Expression,4627.0,False,79,0.17202571,0.15873362,90.27093596059113,139.68488,4.946522,604,True,-0.746547672474172
IGLV9-49,0,1.9698869236693063e-31,-0.10531602807610477,ENSG00000223350,Gene Expression,6946.0,False,61,0.13395919,0.12571521,92.48768472906403,108.77486,4.6984315,417,True,-0.7861799464239607
JCHAIN,0,9.339652407220404e-30,-0.9385038194963833,ENSG00000132465,Gene Expression,244475.0,False,438,2.4718935,1.2447002,46.05911330049261,2007.1776,7.604983,3285,True,-0.37966999828498654
IGLV2-34,0,1.2423583335822589e-29,-0.07224576198265335,ENSG00000253120,Gene Expression,3659.0,False,60,0.094901636,0.09066453,92.61083743842364,77.06013,4.3574796,498,True,-0.7612699300333071
AC141272.1,0,1.3282177098349362e-29,-0.08630204111268441,ENSG00000277836,Gene Expression,2438.0,False,52,0.10892964,0.10339526,93.59605911330048,88.45087,4.4936895,446,True,-0.7922732498589524
FAM30A,0,1.1367004194711419e-27,-0.264981606964442,ENSG00000226777,Gene Expression,5160.0,False,243,0.5373704,0.4300734,70.07389162561577,436.34476,6.080722,1715,True,-0.49310794748396614
IGHM,0,5.843225251879094e-27,-0.2355293728231404,ENSG00000211899,Gene Expression,35402.0,False,176,0.43814465,0.36335385,78.32512315270937,355.77347,5.877101,1469,True,-0.5375607591095253
